n,bibtex_key,doi_submitted,doi_in_bib,resolution_check,note
31,son_2019_qtran,10.48550/arXiv.1905.05408,10.48550/arXiv.1905.05408,resolves (verified via doi.org),
32,xu_2019_gin,10.48550/arXiv.1810.00826,10.48550/arXiv.1810.00826,resolves (verified via doi.org),
33,boehmer_2020_dcg,10.48550/arXiv.1910.00091,10.48550/arXiv.1910.00091,resolves (verified via doi.org),
34,jiang_2020_dgn,10.48550/arXiv.1810.09202,10.48550/arXiv.1810.09202,resolves (verified via doi.org),
35,liu_2020_g2anet,10.1609/aaai.v34i05.6211,10.1609/aaai.v34i05.6211,resolves (verified via doi.org),
36,naderializadeh_2020_graphmix,10.48550/arXiv.2010.04740,10.48550/arXiv.2010.04740,resolves (verified via doi.org),
37,rashid_2020_qmix_jmlr,10.48550/arXiv.2003.08839,10.48550/arXiv.2003.08839,resolves (verified via doi.org),
38,agarwal_2021_precipice,10.48550/arXiv.2108.13264,10.48550/arXiv.2108.13264,resolves (verified via doi.org),
39,alon_2021_oversquashing,10.48550/arXiv.2006.05205,10.48550/arXiv.2006.05205,resolves (verified via doi.org),
40,li_2021_dicg,10.65109/czoy2835,10.65109/czoy2835,resolves (verified via doi.org),
41,papoudakis_2021_benchmarking,10.48550/arXiv.2006.07869,10.48550/arXiv.2006.07869,resolves (verified via doi.org),
42,terry_2021_pettingzoo,10.48550/arXiv.2009.14471,10.48550/arXiv.2009.14471,resolves (verified via doi.org),
43,wang_2021_qplex,10.48550/arXiv.2008.01062,10.48550/arXiv.2008.01062,resolves (verified via doi.org),
44,kang_2022_nonlinearcg,10.52202/068431-1860,10.52202/068431-1860,resolves (verified via doi.org),
45,wang_2022_casec,10.48550/arXiv.2106.02886,10.48550/arXiv.2106.02886,resolves (verified via doi.org),
46,yu_2022_mappo,10.52202/068431-1787,10.52202/068431-1787,resolves (verified via doi.org),
47,duan_2024_gacg,10.24963/ijcai.2024/434,10.24963/ijcai.2024/434,resolves (verified via doi.org),"KEPT despite Crossref title mismatch: doi.org redirects to ijcai.org/proceedings/2024/434, which the publisher titles as this paper. Crossref metadata for the IJCAI 2024 batch is stale."
48,duan_2024_ltscg,10.1109/TNNLS.2024.3513402,10.1109/TNNLS.2024.3513402,resolves (verified via doi.org),
49,li_2025_expocomm,10.48550/arXiv.2502.19717,10.48550/arXiv.2502.19717,resolves (verified via doi.org),
50,utke_2025_relabstraction,10.1609/aaai.v39i20.35390,10.1609/aaai.v39i20.35390,resolves (verified via doi.org),
51,cuzinrambaud_2026_survey,10.48550/arXiv.2604.25972,10.48550/arXiv.2604.25972,resolves (verified via doi.org),
52,gupta_2026_dmcg,10.65109/iikc6491,10.65109/iikc6491,resolves (verified via doi.org),
